VideoId,Review Title,Review Description,Channel Title,Published Date
Q7vpGYERWYc,「科技美学」Nexus6 摩托罗拉三剑客Moto X Pro、MotoX/G测评,大家好我是那岩，本期「科技美学」我们为大家带来Moto X Pro、MotoX/G 摩托罗拉三剑客Nexus6测评，欢迎访问我们的官方微博@科技美学公众微信“科技美...,科技美学中国,Thu Apr 23 10:26:24 IST 2015
4PcqaJR2JJQ,Moto X Pure Edition vs Nexus 6,Buy Nexus 6: http://geni.us/4BMu | Moto X Pure: http://geni.us/motoxpure | Full comparison: http://goo.gl/13iyfh We pit two of Motorola's biggest smartphones ...,Android Authority,Fri Oct 09 20:56:54 IST 2015
FvoAMerBN3c,Google Nexus 6: Unboxing & Review,"Google Motorola Nexus 6 unboxed and reviewed with an Android 5.0 Lollipop walkthrough, includes benchmarks, camera samples, and comparisons.",DetroitBORG,Mon Nov 24 18:30:10 IST 2014
UcMGNU5zR0Y,50 Nexus 6 Tips and Tricks,Welcome to the Android Lollipop Powered Nexus 6. Here's 50 tips for the device to get you on your way and start to master your device. ▻Subscribe To My ...,Video Gadgets Journal (VGJFelix),Wed Mar 04 23:01:11 IST 2015
n4uQvcc1EBA,【Nexus6】カーブした液晶を保護出来るらしい保護フィルムを試す【ガラスプレート】,今回購入した保護フィルムは「High Grade Glass Screen Protector for Nexus 6」になります。 http://ascii-store.jp/p/4571395837732/?aid=wamplus.,WARAE.net,Mon Feb 16 20:09:28 IST 2015
iHppArd6UrA,【Nexus6】ケースに困ったらとりあえずSpigen！！ ウォレットS  SGP11247,"Nexus6 ケース, Spigen® [ スタンド機能] Nexus 6 Case ウォレット S レザー 手帳型 Google Nexus 6 (2014) (国内正規品) (ブラック 【SGP11247】)】 ...",TakamitsuTV21,Thu Jun 18 08:30:00 IST 2015
3gkvtCkRC0U,Strange #Nexus6 radio reception only on homescreen,"Based on the FCC docs, the Nexus 6 does not have an FM receiver. The headphone cable I'm using is 30 feet. What gives?",Darren Kitchen,Sun Mar 08 03:49:29 IST 2015
4j2yu9l6OaM,Moto X Pure Edition vs Nexus 6,Learn more about the new Moto X in our Moto X Pure Edition review: http://pocketnow.com/2015/09/18/motorola-moto-x-pure-edition-review They're both ...,Pocketnow,Wed Sep 16 20:57:18 IST 2015
eGIV3AoWWlY,Google Nexus 6 vs Apple iPhone 6,"For more details, check out our web site: http://www.phonearena.com/reviews/Google-Nexus-6-vs-Apple-iPhone-6_id3855 Apple brought us two new ...",PhoneArena,Fri Nov 21 13:52:33 IST 2014
ss3zGHO8e1o,「科技美学」四大旗舰对决iPhone6+/S6edge/LG G4/Nexus6（第五季）Review,大家好，我是那岩。「科技美学」四大旗舰对决（第五季）上篇来了。 本期参加对决的四台机器分别为：iPhone6+/S6edge/LG G4/Moto X Pro Nexus6。另外，四...,科技美学中国,Sat Jul 18 14:54:10 IST 2015
OzsnkTvfugU,Nexus 6: Camera Shootout,Buy at Amazon: http://geni.us/nexus6 | Read more: http://goo.gl/UfWNMq Josh takes some photos and videos to show you how the Nexus 6 performs. Talk about ...,Android Authority,Tue Nov 18 10:31:00 IST 2014
NaTkQ0JPyS8,NEXUS 6 FAIL + FIX!,"After my Nexus 6 review, the letters started peeling / falling off... so I fixed it. Here's a tutorial on how to replace the back cover of the Nexus 6 to fix any peeling ...",Dom Esposito,Sat Jan 31 00:08:55 IST 2015
pI67Yr144BI,Android 6.0 Marshmallow on Nexus 6,A tour of Android 6.0 Marshmallow running on the Google and Motorola Nexus 6. Android 6.0 features many new behind-the-scenes features and improvements ...,PhoneDog,Tue Oct 20 20:18:34 IST 2015
7F_FkGxZ3b0,Nexus 6 Tips and Tricks!,Buy at Amazon: http://geni.us/nexus6 | Read more: http://goo.gl/VuSYqJ Talk about Android in our forums: http://www.androidauthority.com/community Subscribe ...,Android Authority,Fri Feb 20 05:49:16 IST 2015
I5c6ZQ2JFLA,Nexus 6 Revisited After 8 Months,Decided to use my Nexus 6 as my daily driver and give you some thoughts I had on the device after 8 months! Think it's still worth buying? Nexus 6 Review from ...,Tim Schofield (Qbking77),Tue Jul 21 04:40:33 IST 2015
ehblSZK4Jkc,Nexus 6 Review: Is it Still Worth it!? (7 months later),"How does the Nexus 6 hold up 7 months later? With an update to Android 5.1, a lot of the original shortcomings seem to have been addressed. Nexus 6 for sale ...",Matthew Moniz,Fri May 08 22:14:49 IST 2015
ifV2C9vMaz8,้How to enter recovery mode NEXUS6 Motorola,"Today we will present how to enter recovery mode for nexus6 by Motorola thx for watching, Subscribe me ติดตามพวกเราต่อได้ที่ www.facebook.com/stepgeektv...",StepGeekTV Online,Mon Oct 26 10:38:37 IST 2015
zCYMABjCt3c,Nexus 6 Review,Buy at Amazon: http://geni.us/nexus6 | Full review & ratings: http://goo.gl/Wcswa5 The Nexus 6 is Google and Motorola's latest and greatest - Josh is here to ...,Android Authority,Wed Nov 12 23:30:14 IST 2014
jaRkciEQ-lo,Nexus 6P vs. Nexus 6 - Android 6.0.1 Marshmallow Comparison!,"We are back today with another interesting video for all smartphone lovers out there. Our main aim is to provide your information, comparisons and reviews of ...",adrianisen,Sun Jan 10 04:13:25 IST 2016
IbR2UQ9ILK4,Nexus 6P vs Nexus 6 - Quick Look!,Buy Nexus 6: http://geni.us/4BMu | Buy Nexus 6P: http://geni.us/Nexus6P | Read more: http://goo.gl/Ti7KJM The Nexus 6 has just been updated to the Nexus 6P ...,Android Authority,Wed Sep 30 05:46:03 IST 2015
LtsI8OoXZe4,Nexus 6 - Official Marshmallow 6.0 - Walk Through,Check out my channel for the latest reviews and news on all the latest technology! YouTube Channel - http://www.youtube.com/oode Subscribe to see more ...,Chris Nacca,Tue Oct 06 21:16:50 IST 2015
FUXKdW7nikI,Samsung Galaxy S6 vs Google Nexus 6,"PhoneArena.com is your ultimate source of mobile tech news, reviews, and info. The PhoneArena YouTube channel delivers a vast range of smartphone, tablet, ...",PhoneArena,Tue Apr 14 19:40:38 IST 2015
MBleCGcY-js,LG G4 vs Google Nexus 6,"The LG G4, being the newcomer and all, intends to establish itself as a formidable rival with all of the improvements that accompany any successive phone ...",PhoneArena,Wed May 27 17:56:29 IST 2015
RoAPTdvgAJg,Google Nexus 6 Review!,"Google's Lollipop flagship, AKA Shamu: Nexus 6! Android 5.0 Lollipop Review: http://youtu.be/pEDQ1z1-PvU Photosphere: ...",Marques Brownlee,Sat Nov 15 19:48:41 IST 2014
JSoNlb5ygdY,"Google Nexus 6 – After The Buzz, Episode 46",Learn more about the Google Nexus 6! Check out Pocketnow's full review here: http://pocketnow.com/2014/12/05/google-nexus-6-review In the latest episode of ...,Pocketnow,Wed Jul 01 07:40:18 IST 2015
7A9l_Pu-S4Y,"Nexus 6 Tips, Tricks & Hidden Features","Here we'll run down 15 or so tips, tricks & hidden features that new and future Nexus 6 owners will want to know about. More details can be found at ...",GottaBeMobile,Sat Nov 22 00:53:03 IST 2014
fHxpd9WDbt8,"Nexus 6 Screen Repair, Battery Swap, Charging port fix",Get your tools from Amazon HERE: http://amzn.to/1XdJPuA Screens can be found HERE: http://bit.ly/1TN24JP Other repair parts are HERE: http://bit.ly/1LdDK0L ...,JerryRigEverything,Sat Feb 28 14:42:53 IST 2015
HnebUurd-mo,Nexus 6 with Android 6.0 Marshmallow Review!,The Motorola Google Nexus 6 aka Shamu still has life with Android 6.0 Marshmallow it makes this old year old device feel young again. Google Nexus 6 Deals ...,Carlos Delgado,Tue Nov 24 20:14:48 IST 2015
7h-R73VTXXQ,Google Nexus 6 Unboxing + Hands On!,"Google Nexus 6, made by Motorola. Unboxing & first setup of the Android 5.0 flagship! Let me know what you want to see in the full review: ...",Marques Brownlee,Wed Nov 05 05:48:21 IST 2014
fnQqS54Ba0E,Nexus 6 Review - Best of the Best?,"The Nexus 6 is a hulking brute, a linebacker of a phone. Out of the numerous big handsets we've seen this year, Google's new beast is among the biggest, ...",TechnoBuffalo,Thu Nov 13 23:31:08 IST 2014
UV4l0Tz7C-k,Motorola Google Nexus 6 مراجعة جهاز,"تابعوني على Instagram.com/slorks Twitter.com/slorks Facebook.com/slorks Intro Track: Astrisk, Orange Range (In all videos) Batman wallpaper by Liam Brazier ...",أحمد بوعركي Ahmad Boarki,Tue Jul 28 03:13:46 IST 2015
Dvf52mlsIgE,"HuaweiNexus6P/Nexus6 Burn-In Amoled Displays,App Test,Battery Life Test!",A Whole Lot Information going on here! Amoled Displays and Burn-In! Quick App Opening Test! And Battery Life on Both These Devices! The Huawei Had 100% ...,myproject13,Sat Oct 31 08:15:48 IST 2015
tjasQfmR5o4,Nexus 6 Official Android 6.0 Marshmallow - Review!,Review of Official Android 6.0 Marshmallow on Nexus 6! Nexus 6 has never been cheaper on Amazon US - http://amzn.to/1PgM2UO Update Available: ...,Tech Trinkets,Wed Oct 07 00:19:18 IST 2015
ZrPUFuIPNdo,Nexus 5X vs Nexus 6 - Speed & Camera Test (4K),Nexus 5X vs Nexus 6 - Speed & Camera Test. Which is better? Hey Guys I'm back with another video for all tech fans out there. I make daily tech videos to ...,XEETECHCARE,Fri Dec 11 11:20:33 IST 2015
KDpgrCFbaxg,Nexus 6: Three Months Later,"The Nexus 6 was a pretty great big phone experience when it launched last year. But now that the honeymoon period has ended, have our feelings about the ...",TechnoBuffalo,Thu Feb 05 06:30:17 IST 2015
QqYuJeRBL1g,Google Nexus 6 Durability Drop Test!,How well does the new Google Nexus 6 stand up in a durability drop test? See for yourself! FACEBOOK: https://www.facebook.com/techrax TWITTER: ...,TechRax,Sat Nov 22 03:20:36 IST 2014
XHvQeYggLsg,【開封】nexus6,はじめまして！ nexus6を開封しました。 とても大きくていい感じです！,佐藤百香,Sun Mar 15 19:15:49 IST 2015
mOvhm8j2TTU,Nexus 6 vs iPhone 6 Plus,"Buy Nexus 6: http://geni.us/nexus6 | Read more here! http://goo.gl/DUJmvR The Nexus 6 goes up against the new big dog in Apple's camp, the iPhone 6 Plus!",Android Authority,Fri Feb 13 01:13:29 IST 2015
cJnUU_8MttA,Spigen Nexus 6 Cases Review + Giveaway!,Checking out the Spigen Nexus 6 line of cases! WINNERS OF GIVEAWAY CAN BE VIEWED HERE: https://gleam.io/UqSNC/spigen-nexus-6-case-giveaway Buy ...,Jared Busch,Fri Jan 16 04:13:51 IST 2015
1jvPBPCnubc,Motorola Google Nexus 6 (64GB Midnight Blue) Unboxing and Extended First Look!,"Click ""Show more"" to see the entire description. AT&T Nexus 6: http://instagram.com/p/vmLq06D1Yi/ External Storage: http://youtu.be/bSnwclXji3o Protect your ...",wwjoshdew,Thu Nov 20 06:12:02 IST 2014
